slug,name,long
md-east-shore,Md.-East. Shore,"University of Maryland, Eastern Shore"
me-farmington,Me.-Farmington,"University of Maine, Farmington"
me-presque-isle,Me.-Presque Isle,University of Maine at Presque Isle
medaille,Medaille,Medaille College
medgar-evers,Medgar Evers,Medgar Evers College
memphis,Memphis,University of Memphis
menlo,Menlo,Menlo College
mercer,Mercer,Mercer University
merchant-marine,Merchant Marine,U.S. Merchant Marine Academy
mercy,Mercy,Mercy College
mercyhurst,Mercyhurst,Mercyhurst College
meredith,Meredith,Meredith College
merrimack,Merrimack,Merrimack College
messiah,Messiah,Messiah College
methodist,Methodist,Methodist University
metro-st,Metro St.,Metropolitan St. University of Denver
miami-fl,Miami (Fla.),University of Miami
miami-oh,Miami (OH),Miami University (Ohio)
michigan,Michigan,University of Michigan
michigan-st,Michigan St.,Michigan State University
michigan-tech,Michigan Tech,Michigan Technological University
middle-tenn,Middle Tenn.,Middle Tennessee State University
middlebury,Middlebury,Middlebury College
midwestern-st,MSU Texas,Midwestern State University
miles,Miles,Miles College
millersville,Millersville,Millersville University
millikin,Millikin,Millikin University
mills,Mills,Mills College
millsaps,Millsaps,Millsaps College
milwaukee,Milwaukee,"University of Wisconsin, Milwaukee"
minn-crookston,Minn.-Crookston,University of Minnesota-Crookston
minn-duluth,Minn. Duluth,University of Minnesota-Duluth
minn-morris,Minn.-Morris,University of Minnesota-Morris
minn-st-mankato,Minn. St. Mankato,Minnesota State University-Mankato
minn-st-moorhead,Minn. St. Moorhead,Minnesota State Univ.-Moorhead
minnesota,Minnesota,University of Minnesota
minot-st,Minot St.,Minot State University
misericordia,Misericordia,Misericordia University
mississippi-col,Mississippi Col.,Mississippi College
mississippi-st,Mississippi St.,Mississippi State University
mississippi-val,Mississippi Val.,Mississippi Valley State University
missouri,Missouri,University of Missouri
missouri-snt,Missouri S&T,Missouri S&T
missouri-st,Missouri St.,Missouri State University
mit,MIT,MIT
mitchell,Mitchell,Mitchell College
mo-southern-st,Mo. Southern St.,Missouri Southern St. University
mo-st-louis,Mo.-St. Louis,University of Missouri-St. Louis
mo-western-st,Mo. Western St.,Missouri Western St. University
molloy,Molloy,Molloy University
monmouth,Monmouth,Monmouth University
monmouth-il,Monmouth (IL),Monmouth College
mont-st-billings,Mont. St. Billings,Montana St. University Billings
montana,Montana,University of Montana
montana-st,Montana St.,Montana State University-Bozeman
montclair-st,Montclair St.,Montclair State University
montevallo,Montevallo,University of Montevallo
moravian,Moravian,Moravian College
morehead-st,Morehead St.,Morehead State University
morehouse,Morehouse,Morehouse College
morgan-st,Morgan St.,Morgan State University
morningside,Morningside,Morningside College
morris-brown,Morris Brown,Morris Brown College
mount-holyoke,Mount Holyoke,Mount Holyoke College
mount-ida,Mount Ida,Mount Ida College
mount-olive,Mount Olive,Mount Olive College
mount-union,Mount Union,Mount Union College
msoe,Milwaukee Engr.,Milwaukee School of Engineering
mt-aloysius,Mt. Aloysius,Mount Aloysius College
mt-mary,Mt. Mary,Mount Mary College
mt-st-joseph,Mount St. Joseph,Mount St. Joseph University
mt-st-mary-ny,Mt. St. Mary (NY),Mount Saint Mary College
mt-st-marys,Mt. St. Mary's,Mount St. Mary's University
